LOCAL,latitude,longitude
AMPERE,-25.9168,-53.4686
ARAUCARIA,-25.5859,-49.4047
BALSA NOVA,-25.5804,-49.6291
CANDOI,-25.5758,-52.0409
CARAMBEI,-24.9152,-50.0986
CASCAVEL,-24.9573,-53.4590
CHOPINZINHO,-25.8515,-52.5173
COLOMBO,-25.2925,-49.2262
CONTENDA,-25.6788,-49.5350
CURITIBA,-25.4195,-49.2646
DOIS VIZINHOS,-25.7407,-53.0570
FAZENDA RIO GRANDE,-25.6624,-49.3073
FOZ DO IGUACU,-25.5427,-54.5827
FRANCISCO BELTRAO,-26.0817,-53.0535
IMBITUVA,-25.2285,-50.5989
IRATI,-25.4697,-50.6493
ITAIPULANDIA,-25.1366,-54.3001
LARANJEIRAS DO SUL,-25.4077,-52.4109
MARECHAL CANDIDO RONDON,-24.5570,-54.0571
MEDIANEIRA,-25.2977,-54.0943
NOVA SANTA ROSA,-24.4693,-53.9552
PALMAS,-26.4839,-51.9888
PALMEIRA,-25.4257,-50.0070
PALOTINA,-24.2868,-53.8404
PATO BRANCO,-26.2292,-52.6706
PEROLA DOESTE,-25.8278,-53.7433
PINHAIS,-25.4429,-49.1927
PIRAQUARA,-25.4422,-49.0624
PITANGA,-24.7588,-51.7596
PONTA GROSSA,-25.0916,-50.1668
PORTO UNIAO,-26.2451,-51.0759
QUITANDINHA,-25.8734,-49.4973
SANTA TEREZINHA DE ITAIPU,-25.4391,-54.4020
SANTO ANTONIO DO SUDOESTE,-26.0737,-53.7251
SAO JOAO,-25.8214,-52.7252
SAO JORGE DOESTE,-25.7085,-52.9204
SAO JOSE DOS PINHAIS,-25.5313,-49.2031
SAO MATEUS DO SUL,-25.8677,-50.3840
TEIXEIRA SOARES,-25.3701,-50.4571
TOLEDO,-24.7246,-53.7412
UNIAO DA VITORIA,-26.2273,-51.0873
