longitude,latitude
-49.1298,-24.6819
-49.316,-24.5555
-49.2542,-24.3179
-49.5223,-23.9166
-49.5747,-23.676
-49.6379,-23.3495
-49.8194,-23.077
-50.0528,-22.9055
-50.3592,-22.9161
-50.7959,-22.9512
-51.0044,-22.7937
-51.3331,-22.6671
-51.6305,-22.6579
-51.9015,-22.6019
-52.1523,-22.5692
-52.4457,-22.6083
-52.7829,-22.6021
-53.1052,-22.6219
-53.4104,-22.8139
-53.7149,-23.2834
-54.0511,-23.6872
-54.2862,-24.0682
-54.3185,-24.5907
-54.4572,-25.0393
-54.5935,-25.5922
-54.144,-25.521
-53.8189,-25.9123
-53.6514,-26.2068
-53.4304,-26.2819
-53.028,-26.3702
-52.7006,-26.358
-52.4426,-26.4381
-51.5121,-26.5817
-51.2221,-26.5937
-51.2029,-26.2982
-50.7033,-26.188
-50.3657,-26.1121
-49.9341,-26.0189
-49.4872,-26.1942
-49.2345,-26.0307
-48.5953,-25.9768
-48.3097,-25.4933
-48.3241,-25.0367
-48.5664,-24.9168
-48.9123,-24.674
-49.1298,-24.6819
