NUM_UC,NUM_UC_ANEEL,SITUACAO_INICIAL,SITUACAO_ATUAL,SITUACAO_UC,LOCAL,CLASSE,GRUPO,TIPO_FASE,ETAPA,DT_ATIVACAO,DT_DISTRATO,MOTIV_DIST,IND_SOLICITAÇAO,FINALIDADE,FABRI_VEIC,MODELO_VEIC,ANO_VEIC,TIPO_VEIC,MOTOR_VEIC,STATUS_VEIC,CAPACIDADE_VEIC,QTE_VEIC,PERCURSO_SEMANAL,FREQ_CARGA_RESIDENCIA,FREQ_CARGA_SEMANAL,FREQ_CARGA_MADRUGADA,LOCAL_RECARGA,ELETROPOSTO_COPEL,STATUS_WALLBOX,MARCA_WALLB,POT_WALLB,STATUS_PORTATIL,MARCA_PORTATIL,POT_PORTATIL,TARIFA_SOCIAL,TARIFA_BRANCA,GD_BENE_INIC,GD_BENE_FIM,TIPO_GD_BENE,DATA_INICIO_GD,DATA_FIM_GD,TIPO_GD_GERA,POSSUI_GD_CLIENTE,DT_SITUACAO_UC,DT_MUD_TIT,MUD_TIT
81649282,343418603176.0,Ativo,Ativo,LG,PINHAIS,B1,1.0,MO,12.0,2026-03-01,,,,Pessoal,WATTS,W125,,Moto,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,90.0,Sempre,de 6 a 7 vezes por semana,Sempre,Residência,N,N,,,S,Watts W160,menor que 4 kW,N,N,,,,,,,N,2009-07-21,,
10039589,237990803133.0,Controle,Controle,LG,MARECHAL CANDIDO RONDON,B1,1.0,TR,9.0,2026-03-01,,,,Pessoal,VOLVO,EX30 Extended Range,,Carro,Eletrico,Proprio,Entre 61 e 80 kWh,1.0,350.0,Sempre,de 4 a 5 vezes por semana,Sempre,Residência;Shopping;Eletroposto,N,S,WEG WALL G2,entre 4 e 8 kW,S,VOLVO MOBILE,menor que 4 kW,N,N,2025-03-01,,,2025-03-01,,GDII,S,2023-12-26,,
114919151,673378403102.0,Ativo,Ativo,LG,SAO JOSE DOS PINHAIS,B1,1.0,TR,4.0,2026-03-01,,,,Pessoal,VOLVO,EX30 Cross Country,2026.0,Carro,Eletrico,Proprio,Entre 61 e 80 kWh,1.0,300.0,Frequentemente,de 2 a 3 vezes por semana,Sempre,Residência;Eletroposto;,S,S,WEG WALL G2,entre 4 e 8 kW,S,VOLVO MOBILE,menor que 4 kW,N,N,,,,,,,N,2025-07-30,,
108042499,611193603116.0,Ativo,Ativo,LG,FOZ DO IGUACU,B1,1.0,TR,6.0,2026-03-01,,,,Pessoal,VOLVO,XC40 P8,,Carro,Eletrico,Proprio,Entre 61 e 80 kWh,2.0,500.0,Sempre,de 2 a 3 vezes por semana,Sempre,Residência;Trabalho;Shopping;Eletroposto;,S,S,WEG WALL G2,entre 4 e 8 kW,S,VOLVO MOBILE,menor que 4 kW,N,N,,,,,,,N,2021-07-15,,
91887801,473956203121.0,Ativo,Ativo,LG,PONTA GROSSA,B1,1.0,BI,16.0,2026-03-01,,,,Pessoal,VOLVO,EX30,,Carro,Eletrico,Proprio,Entre 61 e 80 kWh,1.0,400.0,Frequentemente,de 2 a 3 vezes por semana,Sempre,Residência;,S,S,WEG WALL G2,entre 4 e 8 kW,S,VOLVO MOBILE,menor que 4 kW,N,N,2021-11-01,,,2021-11-01,,GDI,S,2012-12-28,,
103443452,569782503188.0,Reserva,Reserva,LG,SAO JOSE DOS PINHAIS,B1,1.0,TR,13.0,,,,,Pessoal,VOLVO,C40 Ultimate,2023.0,Carro,Eletrico,Proprio,Entre 61 e 80 kWh,2.0,500.0,Sempre,de 2 a 3 vezes por semana,Sempre,Residência;,S,S,WEG WALL G2,entre 4 e 8 kW,S,VOLVO MOBILE,menor que 4 kW,N,N,2025-03-01,,,2023-10-01,,GDII,S,2018-02-26,,
105145530,585103403182.0,Reserva,Reserva,LG,PATO BRANCO,B1,1.0,TR,13.0,,,,,Pessoal,VOLVO,XC40 P8 Ultimate,,Carro,Eletrico,Proprio,Entre 61 e 80 kWh,2.0,250.0,Sempre,de 2 a 3 vezes por semana,Frequentemente,Residência,S,N,,,S,VOLVO MOBILE,menor que 4 kW,N,N,2020-07-01,,,2025-06-01,,GDII,S,2019-04-22,,
92680356,479490903174.0,Ativo,Ativo,LG,TOLEDO,B1,1.0,TR,13.0,2026-03-01,,,,Pessoal,VOLVO,XC40 P8,2022.0,Carro,Eletrico,Proprio,Entre 61 e 80 kWh,1.0,300.0,Frequentemente,de 2 a 3 vezes por semana,Sempre,Residência;Eletroposto,S,S,Enel X Waybox,entre 8 e 12 kW,S,VOLVO MOBILE,menor que 4 kW,N,N,,,,,,,N,2021-08-11,,
95962468,510116403100.0,Ativo,Ativo,LG,PONTA GROSSA,B1,1.0,TR,3.0,2026-03-01,,,,Pessoal,VOLVO,XC40,,Carro,Eletrico,Proprio,Não sei,1.0,30.0,Frequentemente,de 2 a 3 vezes por semana,Sempre,Residência,N,N,,,S,VOLVO MOBILE,menor que 4 kW,N,N,,,,,,,N,2014-07-17,,
108939154,619281503190.0,Ativo,Ativo,LG,FOZ DO IGUACU,B1,1.0,BI,16.0,2026-03-01,,,,Pessoal,VOLVO,EX30,2025.0,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,300.0,Frequentemente,de 2 a 3 vezes por semana,Frequentemente,Residência,S,S,WEG WALL G2,entre 8 e 12 kW,S,Joog,menor que 4 kW,N,N,,,,,,,N,2026-05-26,,
80232795,383515003121.0,Ativo,Ativo,LG,COLOMBO,B1,1.0,BI,17.0,2026-03-01,,,,Pessoal,VOLVO,EX30 Ultra,,Carro,Eletrico,Proprio,Entre 61 e 80 kWh,1.0,500.0,Sempre,de 6 a 7 vezes por semana,Sempre,Residência,S,S,WEG WALL G2,entre 4 e 8 kW,N,,,N,N,2023-05-01,,,2023-05-01,,GDI,S,2005-02-24,,
105639087,589591903104.0,Ativo,Ativo,LG,SAO JOSE DOS PINHAIS,B1,1.0,TR,10.0,2026-03-01,,,,Pessoal,VOLVO,XC40,2024.0,Carro,Eletrico,Proprio,Entre 61 e 80 kWh,2.0,250.0,Sempre,de 2 a 3 vezes por semana,Sempre,Residência;,N,S,WEG WALL G2,entre 4 e 8 kW,N,,,N,N,2023-04-01,,,2023-04-01,,GDI,S,2019-08-13,,
