UC;GRUPO;DATA;Motivo
7003455;Controle;12/03/2026;TROCA DE TITULARIDADE
88396371;Controle;15/04/2026;TROCA DE TITULARIDADE
99509725;Controle;07/05/2026;TROCA DE TITULARIDADE
112453570;Controle;04/06/2026;TROCA DE TITULARIDADE
7128118;Controle;19/06/2026;TROCA DE TITULARIDADE
84955007;Controle;10/07/2026;TROCA DE TITULARIDADE
43879870;Tratamento;18/04/2026;TROCA DE TITULARIDADE
88811220;Tratamento;12/05/2026;TROCA DE TITULARIDADE
106318284;Tratamento;30/06/2026;TROCA DE TITULARIDADE
92941192;Tratamento;20/07/2026;TROCA DE TITULARIDADE
110995996;Tratamento;01/07/2026;UC DESLIGADA - CORTE
88396371;Controle;05/08/2026;TROCA DE TITULARIDADE
