DATA_ALERTA,NUM_UC,GRUPO_UC,TIPO_ALERTA,CAMPO,VALOR_ANTERIOR,VALOR_NOVO,DETALHE,ARQUIVO_ORIGEM
2026-03-01,101474237,Controle,Alteração GD,GD_BENE_INIC,,2026-03-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-03-01,112309224,Reserva,Alteração GD,GD_BENE_INIC,,2026-03-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-03-01,112868290,Controle,Alteração GD,GD_BENE_INIC,,2026-03-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-03-01,113440944,Controle,Alteração GD,DATA_INICIO_GD,,2026-03-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-03-01,44649444,Controle,Alteração GD,GD_BENE_INIC,,2026-03-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-03-01,48061980,Tratamento,Alteração GD,GD_BENE_INIC,,2026-03-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-03-01,86830635,Controle,Alteração GD,GD_BENE_INIC,,2026-03-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-03-01,93121954,Reserva,Alteração GD,DATA_INICIO_GD,,2026-03-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-03-01,93121954,Reserva,Alteração GD,GD_BENE_INIC,,2026-03-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-03-07,84955007,Controle,Desligamento,SITUACAO_UC,,DS,Desligamento registrado desde o início do experimento.,mdm-sandbox_clientes_novo-20260706-20260706.csv
2026-03-12,7003455,Controle,Mudança de Titularidade,MUD_TIT,,2026-03-12,Mudança de titularidade registrada desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-04-01,107295245,Reserva,Alteração GD,GD_BENE_INIC,,2026-04-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-04-01,109846869,Reserva,Alteração GD,GD_BENE_INIC,,2026-04-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-04-01,21372039,Controle,Alteração GD,GD_BENE_INIC,,2026-04-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-04-01,82166749,Controle,Alteração GD,GD_BENE_INIC,,2026-04-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-04-01,88686043,Controle,Alteração GD,GD_BENE_INIC,,2026-04-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-04-01,98830376,Tratamento,Alteração GD,GD_BENE_INIC,,2026-04-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-04-15,88396371,Controle,Mudança de Titularidade,MUD_TIT,,2026-04-15,Mudança de titularidade registrada desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-04-18,43879870,Tratamento,Mudança de Titularidade,MUD_TIT,,2026-04-18,Mudança de titularidade registrada desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-05-01,102006288,Reserva,Alteração GD,GD_BENE_INIC,,2026-05-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-05-01,11578912,Tratamento,Alteração GD,GD_BENE_INIC,,2026-05-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-05-01,79792634,Tratamento,Alteração GD,GD_BENE_INIC,,2026-05-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-05-01,90216806,Tratamento,Alteração GD,GD_BENE_INIC,2026-06-01,2026-05-01,Informação de geração distribuída alterada.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-05-01,91375444,Tratamento,Alteração GD,GD_BENE_INIC,,2026-05-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-05-01,99213451,Controle,Alteração GD,DATA_INICIO_GD,,2026-05-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-05-07,99509725,Controle,Mudança de Titularidade,MUD_TIT,,2026-05-07,Mudança de titularidade registrada desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-05-12,88811220,Tratamento,Mudança de Titularidade,MUD_TIT,,2026-05-12,Mudança de titularidade registrada desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-06-01,107778963,Reserva,Alteração GD,DATA_INICIO_GD,,2026-06-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-06-01,108430766,Controle,Alteração GD,GD_BENE_INIC,,2026-06-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-06-01,88811220,Tratamento,Alteração GD,DATA_INICIO_GD,,2026-06-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
